2011-04-05 15:15:25.731786	T001	19.5
2011-04-05 15:29:13.655228	M017	ON
2011-04-05 15:29:13.715402	M007	OFF
2011-04-05 15:29:13.742115	M009	OFF
2011-04-05 15:29:14.371225	M008	OFF
2011-04-05 15:29:15.385287	M016	OFF
2011-04-05 15:29:15.97478	M015	OFF
2011-04-05 15:29:16.859121	SS001	MOVED				1.3
2011-04-05 15:29:17.657406	M017	OFF				1.5
2011-04-05 15:29:17.971199	SS010	MOVED
2011-04-05 15:29:18.068443	SS003	STILL
2011-04-05 15:29:20.19479	SS010	STILL
2011-04-05 15:29:20.719632	M018	ON				1.10
2011-04-05 15:29:28.9993	SS010	MOVED
2011-04-05 15:29:31.503756	M018	OFF
2011-04-05 15:29:32.111534	M018	ON
2011-04-05 15:29:33.443283	SS010	STILL
2011-04-05 15:29:34.011714	SS003	MOVED
2011-04-05 15:29:34.523184	SS002	MOVED
2011-04-05 15:29:34.857846	M017	ON
2011-04-05 15:29:34.872254	M016	ON
2011-04-05 15:29:35.307091	SS001	STILL
2011-04-05 15:29:35.422189	M015	ON
2011-04-05 15:29:36.385295	M008	ON
2011-04-05 15:29:36.401743	M018	OFF
2011-04-05 15:29:37.198741	M017	OFF
2011-04-05 15:29:37.216609	M007	ON
2011-04-05 15:29:37.567294	M016	OFF
2011-04-05 15:29:37.963933	M002	ON
2011-04-05 15:29:38.315413	SS010	MOVED
2011-04-05 15:29:39.025297	M015	OFF
2011-04-05 15:29:39.809997	M007	OFF
2011-04-05 15:29:40.667989	M008	OFF
2011-04-05 15:29:45.469673	M003	ON
2011-04-05 15:29:46.434196	M006	ON
2011-04-05 15:29:48.757318	M006	OFF
2011-04-05 15:29:49.159933	M007	ON				1.2
2011-04-05 15:29:49.752606	M008	ON				1.6
2011-04-05 15:29:50.152951	M009	ON
2011-04-05 15:29:50.520884	M003	OFF
2011-04-05 15:29:51.075234	M015	ON
2011-04-05 15:29:51.613608	M016	ON
2011-04-05 15:29:51.636773	M002	OFF
2011-04-05 15:29:52.580309	M017	ON
2011-04-05 15:29:52.597612	M009	OFF
2011-04-05 15:29:53.128422	M008	OFF
2011-04-05 15:29:53.162275	M007	OFF
2011-04-05 15:29:53.520547	SS010	STILL
2011-04-05 15:29:53.927692	M016	OFF
2011-04-05 15:29:53.946237	M018	ON
2011-04-05 15:29:53.990915	SS002	MOVED
2011-04-05 15:29:54.073977	Kitchen	<do>/usr/local/CASAS/thePUCKstudy/12.wav</do>
2011-04-05 15:29:54.932374	M015	OFF
2011-04-05 15:29:56.363822	M017	OFF
2011-04-05 15:29:56.444219	SS010	MOVED
2011-04-05 15:29:56.511855	SS010	STILL
2011-04-05 15:29:57.066096	P001	1061
2011-04-05 15:29:58.459126	SS010	MOVED
2011-04-05 15:29:58.734562	M017	ON
2011-04-05 15:29:58.881871	SS002	MOVED
2011-04-05 15:29:59.816263	SS010	STILL
2011-04-05 15:30:00.898268	M016	ON
2011-04-05 15:30:00.914321	M015	ON
2011-04-05 15:30:01.516367	M014	ON				1.7
2011-04-05 15:30:01.902267	M018	OFF
2011-04-05 15:30:02.261137	M013	ON				1.7
2011-04-05 15:30:02.815793	M017	OFF				1.9,1-4-end
2011-04-05 15:30:02.89173	M015	OFF
2011-04-05 15:30:02.950781	SS002	STILL
2011-04-05 15:30:04.2926	M016	OFF
2011-04-05 15:30:04.678882	M014	OFF
2011-04-05 15:30:05.68219	SS010	MOVED
2011-04-05 15:30:06.437392	M013	OFF
2011-04-05 15:30:09.363591	M013	ON
2011-04-05 15:30:09.732082	M014	ON
2011-04-05 15:30:12.544161	M014	OFF
2011-04-05 15:30:15.034098	M014	ON
2011-04-05 15:30:16.495511	M016	ON
2011-04-05 15:30:16.526137	M015	ON
2011-04-05 15:30:16.697035	SS010	STILL
2011-04-05 15:30:17.334618	M017	ON
2011-04-05 15:30:18.515948	M013	OFF
2011-04-05 15:30:18.530271	M018	ON
2011-04-05 15:30:19.065807	SS002	MOVED
2011-04-05 15:30:19.124022	P001	1050
2011-04-05 15:30:19.278008	M014	OFF
2011-04-05 15:30:19.893432	M015	OFF
2011-04-05 15:30:20.488894	M016	OFF
2011-04-05 15:30:21.32754	M018	OFF
2011-04-05 15:30:21.708023	M017	OFF
2011-04-05 15:30:22.545475	SS010	MOVED
2011-04-05 15:30:23.289193	SS010	STILL
2011-04-05 15:30:24.964838	SS001	MOVED
2011-04-05 15:30:26.220992	SS010	MOVED
2011-04-05 15:30:33.144401	P001	1040
2011-04-05 15:30:36.152846	T002	24
2011-04-05 15:30:37.813197	SS010	STILL
2011-04-05 15:30:38.67947	M018	ON
2011-04-05 15:30:39.108869	M017	ON
2011-04-05 15:30:39.123996	M016	ON
2011-04-05 15:30:39.501253	M015	ON
2011-04-05 15:30:39.521818	SS001	STILL
2011-04-05 15:30:40.334499	M008	ON
2011-04-05 15:30:41.031568	M017	OFF
2011-04-05 15:30:41.089635	M009	ON
2011-04-05 15:30:41.985193	M016	OFF
2011-04-05 15:30:42.006582	M007	ON
2011-04-05 15:30:42.023283	M018	OFF
2011-04-05 15:30:42.863765	M009	OFF
2011-04-05 15:30:43.388378	M015	OFF
2011-04-05 15:30:44.836874	M008	OFF
2011-04-05 15:30:45.454003	M007	OFF
2011-04-05 15:30:46.633795	M002	ON
2011-04-05 15:30:49.110792	M002	OFF
2011-04-05 15:30:50.761981	M002	ON
2011-04-05 15:30:57.673836	M002	OFF
2011-04-05 15:31:01.369329	M002	ON
2011-04-05 15:31:04.636688	A001	2.84848
2011-04-05 15:31:06.882317	M002	OFF
2011-04-05 15:31:07.483513	M002	ON
2011-04-05 15:31:12.336707	M002	OFF
2011-04-05 15:31:14.516114	A001	2.8234
2011-04-05 15:31:17.026124	M002	ON
2011-04-05 15:31:24.285006	M002	OFF
2011-04-05 15:31:29.613351	M002	ON
2011-04-05 15:31:32.990794	M002	OFF
2011-04-05 15:31:34.434157	M002	ON
2011-04-05 15:31:45.32585	M002	OFF
2011-04-05 15:31:46.688737	A001	2.84481
2011-04-05 15:31:54.064719	A001	2.82411
2011-04-05 15:31:57.726251	M002	ON
2011-04-05 15:31:58.918684	M007	ON
2011-04-05 15:31:59.298036	E002	START_INSTRUCT
2011-04-05 15:31:59.825296	M008	ON
2011-04-05 15:31:59.844064	E002	STOP_INSTRUCT
2011-04-05 15:32:00.212237	M009	ON
2011-04-05 15:32:00.608907	M002	OFF
2011-04-05 15:32:01.323551	M016	ON				2-1-start
2011-04-05 15:32:01.339533	M015	ON
2011-04-05 15:32:02.193409	M009	OFF
2011-04-05 15:32:02.71892	M017	ON
2011-04-05 15:32:02.734757	D007	OPEN				2.1
2011-04-05 15:32:03.271194	M008	OFF
2011-04-05 15:32:03.30061	M007	OFF
2011-04-05 15:32:03.431448	SS010	STILL
2011-04-05 15:32:04.071269	M016	OFF				2.2
2011-04-05 15:32:04.906059	M015	OFF
2011-04-05 15:32:07.049734	M017	OFF
2011-04-05 15:32:08.575598	I006	ABSENT			2.3
2011-04-05 15:32:14.135522	I010	ABSENT			2.3
2011-04-05 15:32:17.228282	P001	1051
2011-04-05 15:32:17.884758	SS018	STILL
2011-04-05 15:32:18.0512	SS010	MOVED
2011-04-05 15:32:23.168351	P001	1031
2011-04-05 15:32:29.83093	M017	ON				2.3
2011-04-05 15:32:32.055169	M017	OFF
2011-04-05 15:32:35.188422	P001	1047
2011-04-05 15:32:37.268574	SS010	STILL
2011-04-05 15:32:43.327664	M017	ON				2.3
2011-04-05 15:32:43.456552	A001	2.84661
2011-04-05 15:32:46.409238	M017	OFF
2011-04-05 15:32:47.037194	SS010	MOVED
2011-04-05 15:32:50.907145	A001	2.82004
2011-04-05 15:32:52.312328	SS010	STILL
2011-04-05 15:32:53.367301	A001	2.84301
2011-04-05 15:33:03.059858	SS010	MOVED
2011-04-05 15:33:03.964675	SS010	STILL
2011-04-05 15:33:05.381167	M017	ON				2.3
2011-04-05 15:33:06.902159	SS010	MOVED
2011-04-05 15:33:07.183692	P001	938
2011-04-05 15:33:07.494216	M017	OFF
2011-04-05 15:33:10.63285	A001	2.82051
2011-04-05 15:33:13.196153	P001	928
2011-04-05 15:33:40.427191	SS010	STILL
2011-04-05 15:33:50.110166	A001	2.84114
2011-04-05 15:33:55.071291	SS010	MOVED
2011-04-05 15:34:07.349038	A001	2.8177
2011-04-05 15:34:08.636172	SS010	STILL
2011-04-05 15:34:16.445291	SS010	MOVED
2011-04-05 15:34:17.206077	A001	2.84051
2011-04-05 15:34:20.797771	M017	ON
2011-04-05 15:34:24.611884	A001	2.82028
2011-04-05 15:34:24.700158	M017	OFF
2011-04-05 15:34:25.728114	SS010	MOVED
2011-04-05 15:34:27.241993	I010	PRESENT			2-1-end
2011-04-05 15:34:29.170912	SS018	MOVED
2011-04-05 15:34:30.431141	SS010	STILL
2011-04-05 15:34:35.332726	SS010	MOVED
2011-04-05 15:34:35.553661	I006	PRESENT
2011-04-05 15:34:37.64445	SS010	STILL
2011-04-05 15:34:38.148308	D007	CLOSE
2011-04-05 15:34:38.517852	M017	ON
2011-04-05 15:34:39.687046	M016	ON
2011-04-05 15:34:40.31754	M015	ON
2011-04-05 15:34:41.144895	M008	ON
2011-04-05 15:34:41.748585	SS018	STILL
2011-04-05 15:34:42.378408	M007	ON
2011-04-05 15:34:42.935606	M017	OFF
2011-04-05 15:34:43.598863	M016	OFF
2011-04-05 15:34:43.630198	M002	ON
2011-04-05 15:34:43.661663	E002	START_INSTRUCT
2011-04-05 15:34:44.425465	A001	2.85254
2011-04-05 15:34:44.487274	SS010	MOVED
2011-04-05 15:34:44.502209	M015	OFF
2011-04-05 15:34:44.516155	E002	STOP_INSTRUCT
2011-04-05 15:34:45.084461	M007	OFF
2011-04-05 15:34:45.172169	SS010	STILL
2011-04-05 15:34:46.078959	M008	OFF
2011-04-05 15:34:48.095477	SS010	MOVED
2011-04-05 15:34:53.387856	M002	OFF
2011-04-05 15:34:54.38163	M002	ON
2011-04-05 15:34:55.573852	M007	ON
2011-04-05 15:34:56.417464	M008	ON
2011-04-05 15:34:57.256652	M009	ON
2011-04-05 15:34:58.053326	M015	ON
2011-04-05 15:34:58.444994	M016	ON
2011-04-05 15:34:59.268749	A001	2.82051
2011-04-05 15:34:59.291977	M009	OFF
2011-04-05 15:34:59.666029	D007	OPEN
2011-04-05 15:35:00.286818	SS010	STILL
2011-04-05 15:35:00.726368	M008	OFF
2011-04-05 15:35:00.74321	M017	ON
2011-04-05 15:35:00.758928	M007	OFF
2011-04-05 15:35:00.804582	M002	OFF
2011-04-05 15:35:01.413963	M016	OFF
2011-04-05 15:35:01.442278	I006	ABSENT
2011-04-05 15:35:02.604329	SS018	MOVED
2011-04-05 15:35:02.692779	I010	ABSENT
2011-04-05 15:35:02.711452	M015	OFF
2011-04-05 15:35:05.369108	M017	OFF
2011-04-05 15:35:06.688082	A001	2.85629
2011-04-05 15:35:09.154604	A001	2.81387
2011-04-05 15:35:10.422267	SS018	STILL
2011-04-05 15:35:10.827802	SS018	MOVED
2011-04-05 15:35:13.748502	SS018	STILL
2011-04-05 15:35:23.967415	A001	2.83473
2011-04-05 15:35:24.726539	SS010	MOVED
2011-04-05 15:35:39.565611	T005	24.5
2011-04-05 15:35:42.44631	M017	ON
2011-04-05 15:35:44.619525	M017	OFF
2011-04-05 15:35:45.635659	SS010	MOVED
2011-04-05 15:35:55.804691	M017	ON
2011-04-05 15:36:02.295311	M017	OFF
2011-04-05 15:36:03.299267	P001	940
2011-04-05 15:36:06.008463	A001	2.80871
2011-04-05 15:36:08.474914	A001	2.8334
2011-04-05 15:36:09.287957	P001	926
2011-04-05 15:36:15.903646	A001	2.85723
2011-04-05 15:36:18.40001	A001	2.82395
2011-04-05 15:36:26.364483	I010	PRESENT
2011-04-05 15:36:27.72362	SS018	MOVED
2011-04-05 15:36:34.479137	I006	PRESENT
2011-04-05 15:36:36.922533	M017	ON
2011-04-05 15:36:36.937333	D007	CLOSE
2011-04-05 15:36:37.079558	SS010	STILL
2011-04-05 15:36:38.246126	M016	ON
2011-04-05 15:36:38.620686	M015	ON
2011-04-05 15:36:39.46625	M008	ON
2011-04-05 15:36:39.857793	M009	ON
2011-04-05 15:36:40.42117	SS018	STILL
2011-04-05 15:36:40.615627	A001	2.86793
2011-04-05 15:36:41.076294	M017	OFF
2011-04-05 15:36:41.110384	M016	OFF
2011-04-05 15:36:42.031659	M007	ON
2011-04-05 15:36:42.046521	M009	OFF
2011-04-05 15:36:42.060376	M002	ON
2011-04-05 15:36:42.622541	M015	OFF
2011-04-05 15:36:42.938673	SS010	MOVED
2011-04-05 15:36:43.11693	A001	2.83567
2011-04-05 15:36:43.466374	M007	OFF
2011-04-05 15:36:44.444842	M008	OFF
2011-04-05 15:36:47.862529	M002	OFF
2011-04-05 15:37:00.990282	M002	ON
2011-04-05 15:37:01.766284	M007	ON
2011-04-05 15:37:01.782973	E002	START_INSTRUCT
2011-04-05 15:37:02.056473	E002	STOP_INSTRUCT
2011-04-05 15:37:02.441229	M008	ON
2011-04-05 15:37:03.049022	M009	ON
2011-04-05 15:37:03.675494	M015	ON
2011-04-05 15:37:04.411619	M016	ON				2-start
2011-04-05 15:37:05.173815	M007	OFF
2011-04-05 15:37:05.189546	M009	OFF
2011-04-05 15:37:05.67724	M008	OFF
2011-04-05 15:37:05.696722	D007	OPEN				2.1
2011-04-05 15:37:05.957031	SS010	STILL
2011-04-05 15:37:06.282169	M017	ON				2.2
2011-04-05 15:37:06.928527	M002	OFF
2011-04-05 15:37:06.946295	I006	ABSENT			2.3
2011-04-05 15:37:07.30815	P001	938
2011-04-05 15:37:07.771838	M015	OFF
2011-04-05 15:37:08.315819	M016	OFF
2011-04-05 15:37:08.330883	I010	ABSENT			2.3
2011-04-05 15:37:09.041102	SS018	MOVED
2011-04-05 15:37:10.983901	SS018	STILL
2011-04-05 15:37:11.372577	SS018	MOVED
2011-04-05 15:37:11.701464	M017	OFF
2011-04-05 15:37:15.2064	A001	2.85684
2011-04-05 15:37:18.214391	SS018	STILL
2011-04-05 15:37:19.639781	SS010	MOVED
2011-04-05 15:37:20.156167	A001	2.82387
2011-04-05 15:37:21.315837	P001	927
2011-04-05 15:37:27.836694	SS010	STILL
2011-04-05 15:37:28.738185	M017	ON
2011-04-05 15:37:31.151819	M017	OFF
2011-04-05 15:37:38.571528	SS010	MOVED
2011-04-05 15:37:40.505815	SS010	STILL
2011-04-05 15:37:42.416893	A001	2.85332
2011-04-05 15:37:44.884401	A001	2.82825
2011-04-05 15:37:56.118587	SS010	MOVED
2011-04-05 15:37:56.855776	SS010	STILL
2011-04-05 15:38:05.643017	SS010	MOVED
2011-04-05 15:38:05.999565	SS010	STILL
2011-04-05 15:38:29.957942	SS010	STILL
2011-04-05 15:38:33.867734	SS010	MOVED
2011-04-05 15:38:34.239371	SS010	STILL
2011-04-05 15:38:39.116179	SS010	MOVED
2011-04-05 15:38:45.285733	I010	PRESENT
2011-04-05 15:38:45.650899	SS010	MOVED
2011-04-05 15:38:46.646608	SS018	MOVED
2011-04-05 15:38:50.725692	D007	CLOSE
2011-04-05 15:38:52.063197	SS010	STILL
2011-04-05 15:38:53.590268	M017	ON
2011-04-05 15:38:54.27473	M016	ON
2011-04-05 15:38:54.889234	Kitchen	<do>/usr/local/CASAS/thePUCKstudy/22.wav</do>
2011-04-05 15:38:55.431515	SS018	STILL
2011-04-05 15:38:55.812905	M017	OFF
2011-04-05 15:38:56.946491	SS010	MOVED
2011-04-05 15:39:04.351844	SS010	STILL
2011-04-05 15:39:04.644862	SS018	MOVED
2011-04-05 15:39:05.74159	M017	ON
2011-04-05 15:39:05.756577	D007	OPEN
2011-04-05 15:39:05.770244	I006	PRESENT			2-end
2011-04-05 15:39:07.035172	D007	CLOSE
2011-04-05 15:39:07.404219	M016	OFF
2011-04-05 15:39:08.010215	M016	ON
2011-04-05 15:39:08.854706	M015	ON
2011-04-05 15:39:09.453491	M008	ON
2011-04-05 15:39:09.836606	M009	ON
2011-04-05 15:39:10.396926	M007	ON
2011-04-05 15:39:10.477805	SS018	STILL
2011-04-05 15:39:11.843073	M009	OFF
2011-04-05 15:39:11.858199	M002	ON
2011-04-05 15:39:12.369434	M017	OFF
2011-04-05 15:39:12.415732	M016	OFF
2011-04-05 15:39:13.082342	M015	OFF
2011-04-05 15:39:13.14796	SS010	MOVED
2011-04-05 15:39:13.733497	E002	START_INSTRUCT
2011-04-05 15:39:14.420451	M002	OFF
2011-04-05 15:39:14.439195	E002	STOP_INSTRUCT
2011-04-05 15:39:14.801827	M008	OFF
2011-04-05 15:39:17.216461	M007	OFF
2011-04-05 15:39:17.255986	M002	ON
2011-04-05 15:39:17.760498	M007	ON
2011-04-05 15:39:18.523828	M008	ON
2011-04-05 15:39:19.750158	M009	ON
2011-04-05 15:39:19.781715	M002	OFF
2011-04-05 15:39:20.750112	M015	ON
2011-04-05 15:39:21.28358	M016	ON
2011-04-05 15:39:21.304765	M007	OFF
2011-04-05 15:39:21.896858	M009	OFF
2011-04-05 15:39:22.426139	M017	ON
2011-04-05 15:39:22.457742	D007	OPEN
2011-04-05 15:39:22.750194	SS010	STILL
2011-04-05 15:39:23.197915	M008	OFF
2011-04-05 15:39:23.214629	I006	ABSENT
2011-04-05 15:39:23.583933	M016	OFF
2011-04-05 15:39:24.867346	SS018	MOVED
2011-04-05 15:39:24.93277	M015	OFF
2011-04-05 15:39:25.553946	I010	ABSENT
2011-04-05 15:39:26.170966	M017	OFF
2011-04-05 15:39:27.405283	P001	937
2011-04-05 15:39:27.807972	SS018	STILL
2011-04-05 15:39:38.567499	A001	2.85801
2011-04-05 15:39:41.015588	A001	2.83512
2011-04-05 15:39:45.418188	P001	924
2011-04-05 15:39:50.101363	SS010	MOVED
2011-04-05 15:39:50.270853	SS010	STILL
2011-04-05 15:39:59.047371	SS010	MOVED
2011-04-05 15:40:01.969348	I006	PRESENT
2011-04-05 15:40:03.593146	SS010	STILL
2011-04-05 15:40:05.654589	A001	2.86465
2011-04-05 15:40:06.523318	SS010	MOVED
2011-04-05 15:40:06.683539	SS010	STILL
2011-04-05 15:40:08.12441	A001	2.83793
2011-04-05 15:40:16.459007	SS010	MOVED
2011-04-05 15:40:25.832456	SS010	STILL
2011-04-05 15:40:39.503271	SS010	MOVED
2011-04-05 15:40:53.683607	SS010	STILL
2011-04-05 15:40:58.573055	SS010	MOVED
2011-04-05 15:40:58.622304	I010	PRESENT
2011-04-05 15:40:59.532154	SS018	MOVED
2011-04-05 15:41:01.445011	P001	934
2011-04-05 15:41:01.686258	D007	CLOSE
2011-04-05 15:41:03.234374	M017	ON
2011-04-05 15:41:03.988128	M016	ON
2011-04-05 15:41:04.005333	M015	ON
2011-04-05 15:41:04.839489	M008	ON
2011-04-05 15:41:05.191799	M009	ON
2011-04-05 15:41:05.404128	SS018	STILL
2011-04-05 15:41:05.578097	M007	ON
2011-04-05 15:41:06.237475	M017	OFF
2011-04-05 15:41:06.258421	M016	OFF
2011-04-05 15:41:06.859158	M002	ON
2011-04-05 15:41:07.100515	SS010	MOVED
2011-04-05 15:41:07.249671	M009	OFF
2011-04-05 15:41:07.893486	M015	OFF
2011-04-05 15:41:09.225601	M007	OFF
2011-04-05 15:41:09.85232	M008	OFF
2011-04-05 15:41:14.955334	M002	OFF
2011-04-05 15:41:15.4491	P001	1058
2011-04-05 15:41:26.33621	M007	ON
2011-04-05 15:41:26.354766	M002	ON
2011-04-05 15:41:26.714137	E002	START_INSTRUCT
2011-04-05 15:41:27.255672	M008	ON
2011-04-05 15:41:27.273699	E002	STOP_INSTRUCT
2011-04-05 15:41:27.47674	P001	1048
2011-04-05 15:41:28.521684	M016	ON				2-start
2011-04-05 15:41:28.540409	M015	ON
2011-04-05 15:41:29.367666	M002	OFF
2011-04-05 15:41:29.759822	D007	OPEN				2.1
2011-04-05 15:41:30.298423	M008	OFF
2011-04-05 15:41:30.340268	M017	ON				2.2
2011-04-05 15:41:30.496879	SS010	STILL
2011-04-05 15:41:30.988995	M007	OFF
2011-04-05 15:41:31.015116	I006	ABSENT			
2011-04-05 15:41:32.295578	M015	OFF
2011-04-05 15:41:32.681727	M016	OFF
2011-04-05 15:41:34.289615	Kitchen	<do>/usr/local/CASAS/thePUCKstudy/23.wav</do>
2011-04-05 15:41:35.155324	M017	OFF
2011-04-05 15:41:36.18196	M017	ON
2011-04-05 15:41:36.354019	SS010	MOVED
2011-04-05 15:41:38.640382	M017	OFF
2011-04-05 15:41:42.126796	M017	ON
2011-04-05 15:41:44.030516	M017	OFF
2011-04-05 15:41:45.412089	I010	ABSENT			2.3
2011-04-05 15:41:48.599625	SS010	STILL
2011-04-05 15:41:49.838166	SS018	STILL
2011-04-05 15:42:03.240505	SS010	MOVED
2011-04-05 15:42:07.062007	SS010	STILL
2011-04-05 15:42:09.990057	SS010	MOVED
2011-04-05 15:42:24.022861	A001	2.81621
2011-04-05 15:42:26.532444	A001	2.83942
2011-04-05 15:42:27.527972	P001	1036
2011-04-05 15:42:43.718531	M017	ON
2011-04-05 15:42:55.846527	M017	OFF
2011-04-05 15:42:56.549766	SS010	MOVED
2011-04-05 15:42:59.268196	M017	ON
2011-04-05 15:42:59.483651	SS010	STILL
2011-04-05 15:43:01.428286	M017	OFF
2011-04-05 15:43:02.405613	SS010	MOVED
2011-04-05 15:43:05.20616	SS010	STILL
2011-04-05 15:43:10.087654	SS010	MOVED
2011-04-05 15:43:10.864172	SS010	STILL
2011-04-05 15:43:15.759973	SS010	MOVED
2011-04-05 15:43:16.10413	SS010	STILL
2011-04-05 15:43:22.279378	M017	ON
2011-04-05 15:43:24.720701	M017	OFF
2011-04-05 15:43:29.115271	I010	PRESENT			2-end
2011-04-05 15:43:30.707453	SS018	MOVED
2011-04-05 15:43:37.586025	SS010	MOVED
2011-04-05 15:43:39.430478	SS010	STILL
2011-04-05 15:43:40.041275	M017	ON
2011-04-05 15:43:41.255529	D007	CLOSE
2011-04-05 15:43:41.875015	SS018	MOVED
2011-04-05 15:43:42.56283	M016	ON
2011-04-05 15:43:42.943274	M015	ON
2011-04-05 15:43:43.699392	M008	ON
2011-04-05 15:43:44.089586	M009	ON
2011-04-05 15:43:44.688555	M016	OFF
2011-04-05 15:43:44.795737	SS018	STILL
2011-04-05 15:43:45.067383	M007	ON
2011-04-05 15:43:46.793182	M015	OFF
2011-04-05 15:43:47.236806	SS010	MOVED
2011-04-05 15:43:47.323733	M017	OFF
2011-04-05 15:43:47.339474	E002	START_INSTRUCT
2011-04-05 15:43:47.714494	M009	OFF
2011-04-05 15:43:48.9099	M008	OFF
2011-04-05 15:43:48.924431	E002	STOP_INSTRUCT
2011-04-05 15:43:50.255906	M008	ON
2011-04-05 15:43:50.840658	M009	ON
2011-04-05 15:43:51.841254	M016	ON
2011-04-05 15:43:51.855771	M015	ON
2011-04-05 15:43:53.487724	D007	OPEN
2011-04-05 15:43:53.50574	M009	OFF
2011-04-05 15:43:53.613174	SS010	STILL
2011-04-05 15:43:53.993536	M008	OFF
2011-04-05 15:43:54.010249	M017	ON
2011-04-05 15:43:54.515357	M007	OFF
2011-04-05 15:43:56.071699	M016	OFF
2011-04-05 15:43:56.089758	M015	OFF
2011-04-05 15:43:57.337365	I010	ABSENT
2011-04-05 15:43:57.787537	SS018	MOVED
2011-04-05 15:44:00.302214	M017	OFF
2011-04-05 15:44:03.639845	SS018	STILL
2011-04-05 15:44:19.580449	P001	926
2011-04-05 15:44:24.835588	SS010	MOVED
2011-04-05 15:44:25.515698	SS010	STILL
2011-04-05 15:44:31.375461	SS010	MOVED
2011-04-05 15:44:32.527586	A001	2.81731
2011-04-05 15:44:35.012292	A001	2.852
2011-04-05 15:44:37.492448	A001	2.82504
2011-04-05 15:45:04.599662	SS010	MOVED
2011-04-05 15:45:06.391988	SS010	STILL
2011-04-05 15:45:14.506169	A001	2.84614
2011-04-05 15:45:15.989137	I010	PRESENT
2011-04-05 15:45:17.500403	SS018	MOVED
2011-04-05 15:45:20.436749	SS018	STILL
2011-04-05 15:45:21.266526	SS018	MOVED
2011-04-05 15:45:21.305137	I006	PRESENT
2011-04-05 15:45:21.904362	A001	2.82348
2011-04-05 15:45:22.02388	SS010	MOVED
2011-04-05 15:45:22.328407	SS010	STILL
2011-04-05 15:45:22.379437	M017	ON
2011-04-05 15:45:24.368893	A001	2.84512
2011-04-05 15:45:25.259757	D007	CLOSE
2011-04-05 15:45:25.281196	M016	ON
2011-04-05 15:45:25.29947	M015	ON
2011-04-05 15:45:25.625044	M008	ON
2011-04-05 15:45:26.469583	M007	ON
2011-04-05 15:45:26.856005	M016	OFF
2011-04-05 15:45:27.135699	SS018	STILL
2011-04-05 15:45:27.695607	M002	ON
2011-04-05 15:45:28.929951	M017	OFF				2-start
2011-04-05 15:45:28.957783	M015	OFF
2011-04-05 15:45:30.702566	M008	OFF
2011-04-05 15:45:31.058121	M007	OFF
2011-04-05 15:45:32.514482	M002	OFF
2011-04-05 15:45:34.623434	P001	936
2011-04-05 15:45:41.692167	A001	2.82215
2011-04-05 15:45:46.413169	T002	24.5
2011-04-05 15:45:47.522142	M008	ON
2011-04-05 15:45:47.539114	D007	OPEN				2.1
2011-04-05 15:45:47.558805	M016	ON
2011-04-05 15:45:47.573289	M015	ON
2011-04-05 15:45:48.043311	M008	OFF
2011-04-05 15:45:48.061814	M017	ON				2.2
2011-04-05 15:45:48.226942	SS010	STILL
2011-04-05 15:45:49.332809	I006	ABSENT			
2011-04-05 15:45:49.866989	M016	OFF
2011-04-05 15:45:49.90184	M015	OFF
2011-04-05 15:45:51.605963	M017	OFF
2011-04-05 15:45:54.485777	Kitchen	<do>/usr/local/CASAS/thePUCKstudy/23.wav</do>
2011-04-05 15:45:58.203151	SS018	STILL
2011-04-05 15:45:58.248208	SS018	MOVED
2011-04-05 15:46:01.473014	A001	2.85582
2011-04-05 15:46:03.510903	I010	ABSENT			2.3
2011-04-05 15:46:03.869368	SS010	MOVED
2011-04-05 15:46:04.517864	SS010	STILL
2011-04-05 15:46:07.131472	SS018	MOVED
2011-04-05 15:46:10.056509	SS018	STILL
2011-04-05 15:46:10.430575	M017	ON
2011-04-05 15:46:11.356295	SS010	MOVED
2011-04-05 15:46:14.448847	M017	OFF
2011-04-05 15:46:16.057702	SS010	STILL
2011-04-05 15:46:18.259951	SS010	STILL
2011-04-05 15:46:21.232924	A001	2.82903
2011-04-05 15:46:21.751278	M017	ON
2011-04-05 15:46:23.959505	M017	OFF
2011-04-05 15:46:26.0682	SS010	MOVED
2011-04-05 15:46:57.668773	P001	923
2011-04-05 15:46:58.928754	M017	ON
2011-04-05 15:46:59.963463	SS010	STILL
2011-04-05 15:47:01.027431	M017	OFF
2011-04-05 15:47:03.681639	P001	933
2011-04-05 15:47:08.515732	SS010	STILL
2011-04-05 15:47:11.444594	SS010	MOVED
2011-04-05 15:47:15.506566	A001	2.84997
2011-04-05 15:47:31.909551	I010	PRESENT
2011-04-05 15:47:32.59709	SS018	MOVED
2011-04-05 15:47:33.673369	D007	CLOSE
2011-04-05 15:47:33.923819	SS010	STILL
2011-04-05 15:47:36.502814	SS018	STILL
2011-04-05 15:47:37.72707	A001	2.81989
2011-04-05 15:47:38.229631	M016	ON
2011-04-05 15:47:40.641388	Kitchen	<do>/usr/local/CASAS/thePUCKstudy/22.wav</do>
2011-04-05 15:47:40.777311	SS010	MOVED
2011-04-05 15:47:41.088137	SS010	STILL
2011-04-05 15:47:43.04306	SS010	MOVED
2011-04-05 15:47:47.585341	A001	2.84036
2011-04-05 15:47:48.848967	SS010	STILL
2011-04-05 15:47:48.887203	D007	OPEN
2011-04-05 15:47:49.477506	M017	ON
2011-04-05 15:47:50.45827	I006	PRESENT			2-end
2011-04-05 15:47:51.776466	SS010	MOVED
